SI0004	18 Sept 2024	10:37 pm	RM138.00	Air	LIN1
U009	BS001	Coke	123	RM1.00	RM123.00
SI0005	19 Sept 2024	02:18 am	RM1357.50	Ground	LIN1
U009	BS001	Coke	123	RM1.00	RM123.00
U001	SD001	Prawn	123	RM10.00	RM1230.00
SI0006	19 Sept 2024	02:21 am	RM127.50	Ground	LIN1
U009	BS001	Coke	123	RM1.00	RM123.00
SI0007	19 Sept 2024	02:25 am	RM127.50	Ground	LIN1
U009	BS001	Coke	123	RM1.00	RM123.00
SI0008	19 Sept 2024	02:26 am	RM138.00	Air	LIN1
U009	BS001	Coke	123	RM1.00	RM123.00
SI0009	19 Sept 2024	04:39 pm	RM1627.50	Ground	LIN1
U009	BS001	Coke	123	RM1.00	RM123.00
U001	SD001	Prawn	150	RM10.00	RM1500.00
SI0010	19 Sept 2024	03:56 pm	RM2587.50	Ground	LIN1
U009	BS001	Coke	123	RM1.00	RM123.00
U001	MT001	Beef	123	RM10.00	RM1230.00
U001	SD001	Prawn	123	RM10.00	RM1230.00
